user,text,created_at_datetime,link,comments,retweets,likes,quotes
@NREEMonitor,Causes of climate change? The climate has always changed due to natural processes interacting with the sun such as the water and energy cycles. In the past these changes were natural and caused by phenomena such as slow shifts in the Earth's orbit and changes in solar and .../2,2019-11-26T21:09:00Z,/NREEMonitor/status/1199435018105434116#m,1,1,1,0
@FLATEARTH111,Travelling side show! Don't take the kool aid.Climate change is a natural event caused by solar cycles.CO2 is your friend.........,2019-10-13T16:03:00Z,/FLATEARTH111/status/1183413046326153216#m,0,0,0,0
@SimcoeGreyPpc,"Scafetta argued&#44; ""At least 60% of the warming of the Earth observed since 1970 appears to be induced by natural cycles which are present in the solar system."" According to Scafetta&#44; the only reasonable explanation is that climate system is modulated by astronomical oscillations.",2019-10-13T00:43:00Z,/SimcoeGreyPpc/status/1183181442857291777#m,0,0,0,0
@Logisticsau,"50 year Study confirms ""Global sea levels go up & down in response to natural climate cycles&#44; known as Milankovitch cycles&#44; caused by long-term changes in Earths solar orbit every 20&#44;000&#44; 40&#44;000 & 100&#44;000 years. They cause polar ice sheets to grow or melt"" phys.org/news/2019-10-antarc…",2019-10-03T21:34:00Z,/Logisticsau/status/1179872288822349824#m,0,2,3,0
@jenn_boy,“The advanced alarmist forecasts...are not credible...All the evidence suggests that these models overestimate the [human] contribution and underestimate the natural climatic variability&#44; especially that induced by the sun&#44; the moon&#44; and ocean oscillations theepochtimes.com/in-letter-…,2019-09-29T12:25:00Z,/jenn_boy/status/1178284639733063689#m,0,0,2,0
@mrxeriscape,Climate alarmist forecasts r not credible They r based on models whose results contradict the data. All evidence suggests-these models overestimate human contribution &underestimate the natural climatic variability induced by the sun&#44; moon&#44; ocean oscillations. #MalinkovitchCycle,2019-09-28T12:59:00Z,/mrxeriscape/status/1177930862697926656#m,1,0,0,0
@Gakworld,"Stop spreading FAKE NEWS about climate change&#44; Climate change is a natural process caused by ""Solar cycles""&#44; it is not man made. Start telling the truth & stop scaring children like mine with project fear. Greta you are a paid LIAR!",2019-09-23T23:45:00Z,/Gakworld/status/1176281533822488584#m,0,0,0,0
@corneliajames25,Another Democrat scare tactic to bankrupt America. “Climate change” are natural cycles that are mainly caused by the sun&#44; volcanoes&#44; & the oceans. Humans have little to no impact on C02 levels. If we want to save the planet&#44; save the people from the corrupt globalist agenda.,2019-08-30T16:32:00Z,/corneliajames25/status/1167475303838564362#m,0,0,0,0
,,,,0,0,0,0
@Arkil_Morel,So if climate change is being driven by the Sun and not humans what do we do about it?  Climate change is happening&#44; so it nees to be addressed whether it's caused by natural cycles or human activity.  So what do climate change skeptics propose?  #ClimateChange #gretathumberg,2019-08-19T15:48:00Z,/Arkil_Morel/status/1163477758145683456#m,2,0,0,0
@allenbyyz,Saying it for the thousandth time: #climatechange is caused by humans - not natural cycles&#44; not sun activity - by humans burning #fossilfuels cbc.ca/news/technology/clima…,2019-07-25T16:09:00Z,/allenbyyz/status/1154423535810621440#m,0,0,0,0
@AgataBabette,Climate change is settled science-  It is caused by natural factors 1- plate techtonics  2- change in tilt of earth's axis (yes it changes)  3- change in sun's solar output  4- change in wind currents   That's it.   So tell the anti CO2 folks to chill.  Climate cycles and changes,2019-05-27T22:07:00Z,/AgataBabette/status/1133132708043997186#m,0,0,0,0
@freecanadian55,Climate Change is caused by natural cycles in the motion of planet earth & variation in radiation from the  sun and our proximity to it over long periods of time. oh and don’t forget earth’s tilt & wobble about its rotating axis @fordnation @AndrewScheer facebook.com/100005444357935…,2019-04-28T22:25:00Z,/freecanadian55/status/1122627842683146241#m,0,0,1,0
@invisionAK,As a natural process of planetary climate cycles we need to adapt to&#44; yes. Volcanic & solar effects not addressed. Man caused climate change is a hoax by UN globalists to redistribute the wealth of western Democracies to enrich third world socialist tyrants & dictators. RT,2019-01-29T17:23:00Z,/invisionAK/status/1090299496930537478#m,0,0,0,0
@A1arch,What we humans do is insignificant in the natural cycles of nature. There is NO evidence that increased warming is caused by CO2. It is well within the normal range of coming out of a mini ice age and may soon decrease. Solar activity drives the world climate.,2018-09-09T12:55:00Z,/A1arch/status/1038772962520748034#m,0,0,0,0
@TEDxWarwick,Corinne Le Quéré at  #TEDxWarwick2018 #DaretoDefy: “Yes&#44; we monitor the sun… and no it is not getting brighter. Yes&#44; there are natural cycles&#44; but this is not what they looks like. This looks like climate change&#44; caused by human activities.” @clequere.,2018-03-03T17:06:00Z,/TEDxWarwick/status/969982381246636033#m,1,1,1,0
@BBCPropaganda,Climate change is natural and mainly caused by solar cycles changing weather patterns&#44; not man made CO2. #BBCDP,2015-12-08T12:22:00Z,/BBCPropaganda/status/674202402757693440#m,1,5,5,0
@climatebrad,"""These changes are not caused by the sun. They are not caused by natural cycles.""  #NCA2014 #climate whitehouse.gov/live",2014-05-06T18:32:00Z,/climatebrad/status/463748171131531264#m,0,7,3,0
@janwillemvangen,Climate change: 50-60% of warming since 1850 induced by natural oscillations of sun buff.ly/1ftFdfp.,2013-12-16T22:30:00Z,/janwillemvangen/status/412711331943690240#m,0,0,0,0
@janwillemvangen,Climate change: 50-60% of warming since 1850 induced by natural oscillations of sun bit.ly/1edkkYz.,2013-12-14T16:24:00Z,/janwillemvangen/status/411894468766208001#m,0,0,1,0
@LindaFStewart,Dark cloud from Mordor caused by natural solar cycles&#44; Sauron insists. Climate map of Middle Earth. theguardian.com/environment/…,2013-12-06T14:49:00Z,/LindaFStewart/status/408971355279724544#m,0,0,0,0
@Mach1Broker,Yep! RT @Kriskxx: @Mach1Broker global climate change is caused by natural cycles mostly related 2 the sun & oceans&#44; Dr Bell #tcot #p2 #ocra,2010-07-08T11:02:00Z,/Mach1Broker/status/18026425813#m,0,0,0,0
@DonPeppers,Climate change largely caused by the sun's natural cycles - new study by NASA http://tinyurl.com/n8ezqh,2009-06-18T11:18:00Z,/DonPeppers/status/2220925368#m,0,0,0,0
