user,text,created_at_datetime,link,comments,retweets,likes,quotes
@BagmanBrand,"So it's not that climate change isn't real. But throughout the earth's life&#44; it has cooled off and warmed up. If the planet decided to nuke itself&#44; no amount of ""climate change prevention"" would stop that.",2025-01-17T02:52:00Z,/BagmanBrand/status/1880085880389660927#m,0,0,2,0
@GetAlongCantWe,He isn't wrong. But the climate change is natural&#44; in fact could not be significantly altered by human. Global warming of recent cycle started about 20&#44;000 years ago&#44; during the time wildfire of millennium scale burned for hundred of years&#44; warmed up the earth. It will continue.,2025-01-12T23:16:00Z,/GetAlongCantWe/status/1878581870809735591#m,0,0,0,0
@RobertChalmers_,'climate change' is a phrase used to guilt trip the masses into believing the earth hasn't naturally warmed and cooled for millions of years. They blame any fossil fuel power generation. The push to EV is now the main drive (no pun) to combat 'climate change'  Anyway china 👇,2024-12-23T14:05:00Z,/RobertChalmers_/status/1871195442249146759#m,0,0,1,0
@DougJdougmiller,The climate has naturally warmed and cooled throughout Earth's history due to factors like variations in Earth's orbit&#44; volcanic activity&#44; and changes in solar radiation&#44; which can alter the amount of greenhouse gases like carbon dioxide in the atmosphere&#44; leading to warming periods. These natural cycles are the primary reason for climate changes&#44; not human activity.  . Milankovitch Cycles:  These are long-term changes in Earth's orbit and axial tilt&#44; which can significantly impact the amount of sunlight received by different parts of the planet&#44; leading to glacial and interglacial periods.  Current climate changes are natural and within historical&#44; normal bounds.  There is no climate emergency.,2024-12-14T12:57:00Z,/DougJdougmiller/status/1867916943157506229#m,0,0,0,0
@remiller1947,What ‘climate crisis’?  It used to be called ‘global warming’.  They had to drop that because the earth wasn’t warming.  For millions of years&#44; the earth warmed and cooled in cycles.  If it’s not warming&#44;  then its staying the same or cooling.    Stop trying to make people pay money that goes directly into the pockets of the rich and politicians!,2024-11-19T04:35:00Z,/remiller1947/status/1858730799136133164#m,0,0,0,0
@EJthePariah,Hasn't Earth #warmed and #cooled naturally throughout history? climate.gov/news-features/cl…  not the federal government admitting that warming is part of an ongoing cycle! 🫨,2024-10-14T13:28:00Z,/EJthePariah/status/1845818992084074534#m,0,0,0,0
@DougJdougmiller,The climate has naturally warmed and cooled throughout Earth's history due to factors like variations in Earth's orbit&#44; volcanic activity&#44; and changes in solar radiation&#44; which can alter the amount of greenhouse gases like carbon dioxide in the atmosphere&#44; leading to warming periods. These natural cycles are the primary reason for climate changes&#44; not human activity.  . Milankovitch Cycles:  These are long-term changes in Earth's orbit and axial tilt&#44; which can significantly impact the amount of sunlight received by different parts of the planet&#44; leading to glacial and interglacial periods.   •Volcanic Eruptions:  Large volcanic eruptions can release massive amounts of aerosols into the atmosphere&#44; temporarily cooling the planet&#44; while also emitting carbon dioxide,2024-10-12T16:12:00Z,/DougJdougmiller/status/1845135494398533781#m,0,0,2,0
@DougJdougmiller,The climate has naturally warmed and cooled throughout Earth's history due to factors like variations in Earth's orbit&#44; volcanic activity&#44; and changes in solar radiation&#44; which can alter the amount of greenhouse gases like carbon dioxide in the atmosphere&#44; leading to warming periods. These natural cycles are the primary reason for climate changes&#44; not human activity.  . Milankovitch Cycles:  These are long-term changes in Earth's orbit and axial tilt&#44; which can significantly impact the amount of sunlight received by different parts of the planet&#44; leading to glacial and interglacial periods.   •Volcanic Eruptions:  Large volcanic eruptions can release massive amounts of aerosols into the atmosphere&#44; temporarily cooling the planet&#44; while also emitting carbon dioxide,2024-10-12T16:12:00Z,/DougJdougmiller/status/1845135457795047542#m,0,0,1,0
@Hakatoi_,FYI STOP 🛑 USING Other's Tragedies As A SPIN for Your 🫵🫵 Climate BS 🤯🙏 HELLO 🤗 PEOPLE this SO-CALLED SCIENCE Person KNOWS the EARTH Climate Runs On CYCLE'S like all Planets & They Change Regularly&#44; Their Just Spinning  the FACTS climate.gov/news-features/cl…,2024-09-30T20:25:00Z,/Hakatoi_/status/1840850515388678204#m,0,0,0,0
@Willoheart,Agreed.  When we look at the big picture&#44; climate change has been truly blown out of proportion. The Earth has warmed and cooled itself for millennia - a hell of a lot longer than humans have studied the multiple scientific factors effecting the process.  Yes&#44; we need to lift up the farmers - push back on corporate farms - and return to sustainable farming that produces safe food.  While we are at it&#44; here in the USA we also need to examine the contamination of soils&#44; our water and the air we breathe by the 'too big to fail' chemical companies; compare the ingredients found in food products sold in other countries to those same products here in the USA by the 'too bit to fail' food manufacturers. Here&#44; the products are filled with poison. That needs to stop immediately.   The chemical companies have partnered with 'to big to fail big pharma'. We need to get the pharma and insurance corporations out of our medical schools and our doctor's offices and return to doctor / patient relationships that are not influenced by outside profiteers.    WE need to work together and stop the BS pushed by the propaganda pushers who are profiting from dividing us over issues that really would not exist if we shut them down.,2024-09-26T23:38:00Z,/Willoheart/status/1839449386956316818#m,0,0,0,0
