user,text,created_at_datetime,link,comments,retweets,quotes,likes,alignment
@Complainany,"""Climate change is not a fake. It is natural behavior.  \n\nIf it was fake it wouldn't have a name, no one would ever know what climate is.  \n\nOn the other hand, climate does change, NOT by CO2 NOT by humans, but through the cycles around the sun and the wobble of the earth.""",2025-08-04T06:22:00Z,/Complainany/status/1952253917678445005#m,0,1,0,0,0
,,,,0,0,0,0,1
@witchendaswas,"""The orbital variations of the sun, plus the earth's orbital shifts around it (the Milankovitch Cycles) fully explain the earth’s natural climate variations…""",2025-07-30T13:12:00Z,/witchendaswas/status/1950545148510961760#m,0,1,0,3,1
@OMApproach,"""What's the point of dimming the sun if climate change is caused by humans?\n\nNewsflash: it’s not caused by humans, and dimming the sun will not help prevent what’s coming. You can’t stop the natural process of axial precession—that’s why they’re building doomsday bunkers.""",2025-07-28T12:03:00Z,/OMApproach/status/1949802990472188413#m,12,27,2,188,1
@ClimatePals,"""🌏Climate #Activists aren't trying to ""control"" climate but to keep it within a habitable range for life as we know it. #Deniers misframe this as a hoax by conflating natural cycles with human caused disruption, missing the point that it's about our survival, not the planet's. The planet Earth will persist, as it has for billions of years through dramatic changes.🪧\n\n❓The question is whether we can sustain the conditions that support human civilization and biodiversity.\n\n❓Can we keep the life support system of planet within habitable range without collapse of ecosystem.\n\n#ClimateAction #ClimateActionNow #ClimateCrisis #Ecosystem #Environment #Biodiversity #Extinction #Survival #Planet #Humanity #btc #humanrace #Collapse #MassExtinction #ExtremeWeather #Heatwaves #Wildfires #Donate #dubai #USA #England #Uk #Britain #EuropeanUnion #Europe #flooding @joshua_xu_ @durov #Floods @elonmusk @UNEP @EnvAgency @EU_ENV @EPA #ActNow""",2025-07-22T08:31:00Z,/ClimatePals/status/1947575264789336418#m,0,0,0,0,1
@Jaye_Patrick,"""Natural weather cycles caused by the sun.""",2025-07-15T22:55:00Z,/Jaye_Patrick/status/1945255898160435680#m,0,0,0,1,1
@Al_Nimer,"""I think it’s a combination of many factors, those two things included. The climate DOES change over time, but it’s not caused by human activities. The primary influencer of the weather is our sun ☀️ \nThe sun has 11-year cycles, as well as longer cycles.""",2025-07-15T15:06:00Z,/Al_Nimer/status/1945137862640353758#m,0,0,0,0,1
@RamsarConv,"""Sand and dust storms are an essential element of the Earth’s natural bio-chemical cycles, but are also caused in part by human-induced drivers, including climate change, and unsustainable land management. In turn, sand and dust storms contribute to air pollution. #SDSDay""",2025-07-12T06:40:00Z,/RamsarConv/status/1943923335449973221#m,4,23,1,51,2
@617KimberlyLane,"""#climate #climatescience #science #earth I have been called a global warming  denier for not agreeing that man caused it. ??? Of course the planet warms as it cycles toward the sun in it orbit and north of the equator would warm even more as the tilt toward the sun gets more pronounced.  Lets pretend that man's activities alone caused it.  Where is the science that shows we can slow, stop, or reverse it.  All you 'chicken littles"" ought to take a deep breath, sit back, and think for yourselves instead of believing what every 'publish or perish' 'pseudo pscientist' feeds you so that they can make a living on your irrational fear.  Humanities greatest attribute is and has always been adaptability.  Instead of wringing ones hands and trying to stop the future, might it not be more appropriate to start adapting?""",2025-07-05T15:59:00Z,/617KimberlyLane/status/1941527247699013783#m,0,0,0,1,1
@HughDoUNo,"""HUMAN  caused Climate change is a total HOAX \nTrying to Grift Money off FEAR\n\nHumans have to adapt to the NATURAL Cosmic Cycles and orbital position of sunspots""",2025-07-04T18:01:00Z,/HughDoUNo/status/1941195631860777286#m,0,0,0,0,1
@FRider2024,"""How about some honest reporting on the fact that climate change is caused by the numerous different cycles involving the Sun the planets and moons? How about the sine wave of global warming and cooling going back before humans we're here?""",2025-06-30T12:53:00Z,/FRider2024/status/1939668686626844908#m,0,0,1,0,1
@UKFreeAlliance,"""Freedom Alliance stand firmly against sun dimming and other geo-engineering. We must adapt to the natural cycles of our temperate climate not attempt to control it. \nJoin with us freedomalliance.co.uk/""",2025-06-21T11:37:00Z,/UKFreeAlliance/status/1936387936469070284#m,1,2,0,5,1
@JackDozerSlappy,"""If Climate Change is manmade,\nInstead of a result of natural cycles such as solar and precession, \nThen why do they want to block the Sun?""",2025-06-15T22:07:00Z,/JackDozerSlappy/status/1934372261290803290#m,1,0,0,1,2
@tony_wroe,"""David Bellamy (RIP) a prominent naturalist and television presenter, had a complex and evolving stance on climate change. he expressed skepticism about human-caused climate change, suggesting it was part of natural cycles. Later, he became more vocal in his denial of human responsibility for climate change, viewing it as ""poppycock"". He also criticized environmental groups and their perceived unrealistic approaches.""",2025-06-09T08:33:00Z,/tony_wroe/status/1931992974868500487#m,0,0,0,0,1
@JGerrings,"""More fantasy and fake news zzzzzzzzz Its like Brexit scare mongering, endless stream of Climate Project Fear. Now trying the 'security' scare - the world warms and cools in cycles over 1000s of years. It's natural, caused by earth oscillating on it's axis.""",2025-05-28T12:01:00Z,/JGerrings/status/1927696658680144116#m,1,0,0,0,1
@josbourgault,"""“There are three things that cannot be long hidden; the Sun, the moon and the truth.” - Buddha \n\n“Natural Climate Change Cycles” can be factually scientifically explained by: \n\n1 - 800,000 years of researched and documented Antarctic Ice Core Samples. \n\n2 - The Milankovitch (3 Earth) Cycles uncovered in the 1920s by Serbian Scientist Milutin Milankovitch \n\nnitter.tiekoetter.com/peterdclack/status/189…\ninvidious.tiekoetter.com/watch?v=A24fWmNA…""",2025-05-19T18:35:00Z,/josbourgault/status/1924534432486326666#m,0,1,0,4,1
@953673394962k,"""What Is Climate Change? | United Nations un.org/en/climatechange/what…\n\nThe UN is a political shit show. You cannot trust anything this organization says. Climate change is a natural phenomena caused by the sun and earths orbit. Human activity has almost no influence. Beware of poisons""",2025-05-18T01:33:00Z,/953673394962k/status/1923914849165463681#m,0,0,0,0,1
@James77873966,"""NASA Admits Climate Change Is Natural and Caused by the Sun\nFor more than 60 years, the National Aeronautics and Space Administration (NASA) has known that changes in the planet’s weather are perfectly natural and normal.""",2025-05-13T13:48:00Z,/James77873966/status/1922287777766359054#m,0,0,0,0,1
@RouteJamsey6,"""Climate change is caused by the sun and the earths cycles. We contribute to.010% of the earths and suns decision. It's not us. We can do better, especially by replanting the trees we remove but, even then, we can't control this place. We only live here, we rent.""",2025-05-13T09:43:00Z,/RouteJamsey6/status/1922226191311765869#m,0,0,0,0,0
@JamiluJibril8,"""Denials vs Climate Change Facts\n\n- ""Not happening"" vs Rising temps & extreme weather\n- ""Natural cycles"" vs 98% of scientists agree on human-caused\n- ""Too expensive"" vs Inaction costs more\n\n#ClimateFacts #DenialVsReality #ActOnClimate #Climatebrawl #ClimateCrisis #ClimateEmergency""",2025-05-06T04:57:00Z,/JamiluJibril8/status/1919617609722384478#m,1,3,0,6,1
@JamiluJibril8,"""Climate Change Denials: Repainting the Truth\n\n- 98% of scientists agree: human-caused\n- CO2 levels & temps aren't natural cycles\n- Inaction is expensive, not climate action\n\n#ClimateFacts #DenialIsNotAnOption #ActOnClimate #Climatebrawl #UN @LagosGecci""",2025-05-05T09:35:00Z,/JamiluJibril8/status/1919325064199061958#m,1,4,0,5,2
@Clarsonimus,"""#ClimateCrisis Fun Facts: The Svensmark Mechanism (see cosmoclimatology) is a natural climate fluctuation mechanism. It is caused by cosmic rays that are influenced by fluctuations in the sun's electromagnetic field which in turn influence cloud cover on Earth. Industrial #CO2?""",2025-04-28T09:38:00Z,/Clarsonimus/status/1916789004814504140#m,2,7,0,9,1
,,,,0,0,0,0,1
@ErikMagnethi,"""Someone please stop these insane Climate Fanatics before they destroy the whole bio system. We are in a natural modern warming period created by sun cycles and it doesn't need to be fixed...\ntelegraph.co.uk/news/2025/04…""",2025-04-23T09:08:00Z,/ErikMagnethi/status/1914969506285343162#m,0,3,0,7,0
@Heartland_Okie,"""Human-caused climate change, yes, it's only about 4%. Natural cyclical climate change is real. The magnetic field weakening is 85%, with the Sun being 15% of the causes. invidious.tiekoetter.com/qN89z0bBK9s?si=dbiP…""",2025-04-20T12:44:00Z,/Heartland_Okie/status/1913936756069499059#m,0,0,0,0,2
@RockyMtnHirvi,"""""Nuclear Scientist Says CO2 Is Not Causing Rising Global Temperatures""\n[Changes in CO2 levels is caused by natural long orbital cycles of the Earth around the Sun... Closer, further, which traps, then releases, CO2] link.theepochtimes.com/mkt_a…""",2025-04-20T02:37:00Z,/RockyMtnHirvi/status/1913784070271549502#m,2,0,0,0,0
@CammeGK,"""Thank goodness for Blackout Bowen and teenagers finally, they have figured out how to control the sun, the Earth's tilt and 4.5 billion years of natural climate cycles with their deranged ideology. Unfortunately for us we have overpaid for their deluded ignorance #Auspol2025\n#BlackoutBowern #ClimateScam""",2025-04-15T00:26:00Z,/CammeGK/status/1911939258983813605#m,0,0,0,0,1
@Rimzire,"""There is no climate crisis.\nThere nothing new in extreme or man-made about today's climate.\n\nChanges in global temp r caused by solar cycles, not CO2, which makes just 0.04% of atmosphere, of which 95% comes frm natural sources, not human activity.\nThe grift is up. U loose..""",2025-04-07T06:28:00Z,/Rimzire/status/1909131131116540036#m,0,0,0,0,0
@PoliticsOnFireX,"""Climate change isn’t about CO2; it’s the Sun’s natural cycles and Earth's irregular orbit that cause fluctuations in temperature.""",2025-04-04T13:28:00Z,/PoliticsOnFireX/status/1908149620007748032#m,0,0,0,1,0
@jessicawins,"""This chart shows long-term natural solar cycles, which do influence Earth’s climate over thousands of years. But what we’re experiencing today is rapid warming over just a few decades — and that can’t be explained by solar activity alone.\n\nScientists already factor in the sun""",2025-03-23T16:01:00Z,/jessicawins/status/1903839607797797266#m,17,2,1,4,1
@Aotearoatapu,"""Climate has changed for millions of years \n\n24 thousand years since the last ice age, 48 thousand year cycles, \n\nYes humans caused some it's not Noah's Ark! \n\nTell them 5m years and the sun will explode and there is nothing they can do about that \n\ninvidious.tiekoetter.com/8ofL2iHA6iU?si=skpd…""",2025-03-18T01:10:00Z,/Aotearoatapu/status/1901803440243900749#m,0,0,0,0,2
@HambergBlack,"""Some say it is karma for the U.S. fighting evil wars overseas on behalf of Israel; some say it is caused by climate change, either through natural cycles or manmade deeds. How is the Trump administration addressing this, if at all?""",2025-03-16T03:37:00Z,/HambergBlack/status/1901115691564232892#m,0,0,0,1,1
@josbourgault,"""Yes, but read this book, it explains based on 60 Major Facts - Why CO2 does NOT cause global warming or Climate Change Cycles which are naturally occurring caused by planetary and sun cycles. It is important to understand: Why CO2 is not responsible for Climate Change Cycles?!""",2025-03-14T19:35:00Z,/josbourgault/status/1900631903298109929#m,0,2,0,10,0
@theclimatehoax,"""Hey everyone, we’re a team who has become really skeptical about human-caused climate change … we think natural cycles or other factors like super massive volcanoes might explain it, and we worry the data could be twisted for political reasons. We’d love to hear what evidence convinces you most, because we’re open to learning. Let’s chat and figure this out together!\n\nCow farts are not the enemy ☺️\n\nPeace and happiness to all""",2025-03-14T03:56:00Z,/theclimatehoax/status/1900395652921909737#m,1,1,0,2,2
@SPACEdotcom,"""Natural cycles in Earth's rotational axis and its orbit around the sun drive climatic changes, and now researchers have matched up specific points in those cycles to the timing of ice ages.  space.com/the-universe/earth…""",2025-03-11T15:02:00Z,/SPACEdotcom/status/1899476122817134778#m,18,29,5,110,1
@GusKuehne,"""Climate change is caused by changes in the Sun ... anyone who the thinks human activity is a significant factor is a scientific illiterate.\nThe Sun is not static ... it is affected by numerous cycles.""",2025-03-10T22:56:00Z,/GusKuehne/status/1899232952007135506#m,0,0,0,1,1
@GusKuehne,"""Climate change is caused by cycles of the Sun.""",2025-03-10T22:08:00Z,/GusKuehne/status/1899220733009842493#m,0,1,0,1,1
@madseninjapan,"""Climate change = natural cycles, not humans. Earth’s temp swung wildly for 4.5B years - ice ages, warm spells, no SUVs needed. Sun activity + ocean currents drive it. Why ignore that? Cuz fear sells carbon taxes & control.""",2025-03-10T12:50:00Z,/madseninjapan/status/1899080295632327136#m,0,0,0,0,1
@timelinelatest,"""According to a newly published study in #Science, the Earth’s next ice age is expected to begin in nearly 11,000 years unless human-caused global warming disrupts the natural cycles. The study analyzed how the subtle shifts in Earth’s orbit around the Sun have historically triggered massive climate changes.\n\nThe research team examined a million-year record of #climatechange focusing on land-based ice sheets across the Northern Hemisphere and deep ocean temperatures. They paired the data with small but cyclical variations in #Earth’s orbital patterns.""",2025-02-28T13:09:00Z,/timelinelatest/status/1895461365403599122#m,0,0,0,0,2
@TheManilaTimes,"""WASHINGTON, D.C. — The Earth's next ice age is expected to begin in about 11,000 years -- unless human-caused global warming disrupts natural cycles.\n\nThat's according to a new study published Thursday in Science, which analyzed how subtle shifts in Earth's orbit around the Sun have historically triggered massive climate changes.\n\nRead more:\ntmt.news/2064557""",2025-02-28T04:48:00Z,/TheManilaTimes/status/1895335181327966464#m,0,0,0,0,2
@gmanews,"""The Earth's next ice age is expected to begin in about 11,000 years, unless human-caused global warming disrupts natural cycles.\n\nThat's according to a new study published on Thursday in Science, which analyzed how subtle shifts in Earth's orbit around the Sun have historically triggered massive climate changes.\n\nREAD: gmanetwork.com/news/scitech/…""",2025-02-28T00:30:00Z,/gmanews/status/1895270191602250022#m,1,5,0,10,2
@Greywoods48442,"""People have always SUFFERED during natural cold cycles and THRIVED during warm cycles.   If we have any control at all (we don't) we ought to be trying to make it warmer.  Warm is just good for all of us.\n\nShare and Follow if you know that human caused climate changes are a scam.""",2025-02-17T15:31:00Z,/Greywoods48442/status/1891510756820087036#m,0,0,0,0,1
@Jalmen701,"""Also, other natural occurrences that affect climate-- are the magnetic poles flipping; sun activity/cycles (Little Ice Age in the 14th-mid 19th centuries); volcanic eruptions (ie Mount Tambora in Indonesia created the ""Year without a Summer in 1816) \n\nThe Sahara was once filled with lakes and dense vegetation (14,6000 to 5,000). During the latter part, humans lived and thrived there. Hunted, fished. THEN THE CLIMATE CHANGED TO THE DESERT WE KNOW TODADY. Not because of CO2 emissions...but to other factors.""",2025-02-01T21:50:00Z,/Jalmen701/status/1885807972246233562#m,0,0,0,1,2
,,,,0,0,0,0,1
@woodrailking,""".\n\nGlobal Warming?\n\nYou mean ""Glow-Ball Warming""\n\nGreenhouse gasses are 99% caused by the sun, water vapour and other natural sources, not manmade\n\nAnd ""going green"" requires MORE Co2, not less, Mr. Gates\n\n.\nclimate change hoax bill environment""",2025-01-23T00:16:00Z,/woodrailking/status/1882220746573021565#m,1,0,0,0,0
@pringle_ge6053,"""I know climate change caused by people is a hoax. climate goes thru cycles. NOTHING people do can control the sun which is responsible for 95% of our weather. Pilgrims marked high tide on Plymouth Rock when they landed 400 yrs ago, 400 yrs later high tide is EXACTLY the same""",2025-01-18T09:42:00Z,/pringle_ge6053/status/1880551333339758911#m,0,0,0,0,1
@GrandSolarMini,"""The natural Warming Cycle of the planet was over back in 2000. We've been slowly beginning the Cooling Cycle now,....all natural and driven mostly by our SUN. We are coming into the Grand Solar Minimum. About 30-40 years of a cooler climate. \nEverything in nature runs on Cycles, and the Climate is no different, the Elite just took advantage of the most recent ""warming"" to make up their MAN MADE climate scam. And now that their scam is being shown up as a lie, they are blaming Global WARMING for Global COOLING. :) They won't admit that the planet is going to be cooling for a while until it's too late for us to catch up with our Energy Infrastructure that they have DESTROYED with their LIES. \nI think that is also why our Visitors are here. They know we are going to need help to make it though this time. \n\nWe need to STOP the global elite PARASITES destruction of our Civilizations if we want to survive the coming Cool down. There are changes we MUST make to help us through it, and so here is a little recap on what happened the last time our Climate began Cooling again,.....and what humanity faced for about 60 years, for those who don't know about the Maunder Minimum. \nthegrandsolarminimum.com/wha…""",2025-01-16T14:54:00Z,/GrandSolarMini/status/1879904965478769103#m,0,0,0,0,1
@GrandSolarMini,"""The natural Warming Cycle of the planet was over back in 2000. We've been slowly beginning the Cooling Cycle now,....all natural and driven mostly by our SUN. We are coming into the Grand Solar Minimum. About 30-40 years of a cooler climate. \nEverything in nature runs on Cycles, and the Climate is no different, the Elite just took advantage of the most recent ""warming"" to make up their MAN MADE climate scam. And now that their scam is being shown up as a lie, they are blaming Global WARMING for Global COOLING. :) They won't admit that the planet is going to be cooling for a while until it's too late for us to catch up with our Energy Infrastructure that they have DESTROYED with their LIES. \nI think that is also why our Visitors are here. They know we are going to need help to make it though this time. \n\nWe need to STOP the global elite PARASITES destruction of our Civilizations if we want to survive the coming Cool down. There are changes we MUST make to help us through it, and so here is a little recap on what happened the last time our Climate began Cooling again,.....and what humanity faced for about 60 years, for those who don't know about the Maunder Minimum. \nthegrandsolarminimum.com/wha…""",2025-01-16T14:53:00Z,/GrandSolarMini/status/1879904776407920974#m,0,0,0,0,1
@grubbshowmedia,"""Climate Change is a natural phenomenon that has occurred throughout Earth's history, independent of human activity. Here's how these natural cycles work:\n\n1. Orbital Variations (Milankovitch Cycles):\n   - Earth's orbit around the Sun changes in shape (eccentricity), its tilt (obliquity) varies, and the direction of its axis (precession) shifts over long periods. These cycles alter the distribution and intensity of solar energy received by different parts of the Earth, leading to climate shifts over tens of thousands to hundreds of thousands of years. For instance, these cycles are known to have played a significant role in the coming and going of ice ages.\n\n2. Solar Radiation Changes:\n   - The Sun's output is not constant; it goes through cycles of higher and lower activity, including sunspot cycles that last about 11 years. Over longer timescales, there are periods of significantly increased or decreased solar output, like the Maunder Minimum, which coincided with a period known as the Little Ice Age in Europe.\n\n3. Volcanic Eruptions:\n   - Large volcanic eruptions can inject massive amounts of aerosols into the stratosphere, which can cool the Earth temporarily by reflecting sunlight back into space. The 1815 eruption of Mount Tambora, for example, led to the ""Year Without a Summer"" in 1816, where global temperatures dropped significantly.\n\n4. Ocean Currents:\n   - Changes in ocean circulation patterns, like the El Niño-Southern Oscillation (ENSO), can cause regional climate variations. These can shift weather patterns, leading to prolonged periods of drought or heavy rainfall in different parts of the world. Over longer geological timescales, changes in ocean currents have been linked to significant climate shifts.\n\n5. Plate Tectonics:\n   - The movement of continents affects ocean currents, atmospheric circulation patterns, and the distribution of landmasses relative to the poles or equator. For example, when all continents were joined in Pangaea, the climate was different than when they were dispersed as they are now. \n\n6. Atmospheric Composition:\n   - Over geological time, the composition of Earth's atmosphere has changed due to biological activity and geological processes. For instance, the rise of oxygen levels due to photosynthesis fundamentally altered the planet's climate and life forms.\n\n7. Greenhouse Gases from Natural Sources:\n   - Even without human influence, natural processes release greenhouse gases. Methane emissions from wetlands, carbon dioxide from volcanic activity, and nitrous oxide from soil bacteria all contribute to the greenhouse effect, influencing temperature.\n\nDiscussion:\n\nThe natural cycles of climate change are complex and occur over various timescales, from decades to millions of years. They show that Earth's climate is inherently dynamic. While these natural forces can lead to significant changes in climate, the current rapid rate of change is largely attributed to human activities, particularly the burning of fossil fuels which has spiked levels of carbon dioxide and other greenhouse gases beyond what natural cycles would suggest.\n\nUnderstanding these natural mechanisms doesn't negate human impact but provides a backdrop for how Earth's climate has evolved. It's crucial in climate science to distinguish between what is natural variability and what is anthropogenic change, as this informs policy, adaptation strategies, and mitigation efforts. The interplay between natural cycles and human-induced changes makes the study of climate change a continuously evolving field, with each discovery adding to our understanding of this intricate system.""",2025-01-13T23:35:00Z,/grubbshowmedia/status/1878949045756146095#m,0,0,0,0,1
@OrionGarrett,"""Snow Northeast, Cold in the east rain in the southeast and drought in the west is climate Change IE weather cycles not manmade Carbon issues. California policies caused 50 years of manmade air pollution with this fire. Natural Gas, Nuclear Energy and yes Oil drilled everywhere go""",2025-01-13T20:38:00Z,/OrionGarrett/status/1878904369003057286#m,0,1,0,0,1
@idummkopp,"""I wish everybody would stop talking about preindustrial natural climate cycles.\nThey are not relevant for understanding what caused the current climate change.\nWe need to prioritize action over historical debate. \nThe causes of current climate change are no longer in question, and focusing on pre-industrial climate variability does not contribute to reducing emissions, implementing renewable energy solutions, or protecting vulnerable communities from the impacts of a warming planet.""",2025-01-12T19:31:00Z,/idummkopp/status/1878525287480049983#m,0,0,0,0,1
@journey_le29533,"""Cue the ""Climate Change"" shills blaming the L.A. fires on fake sciencepropaganda Our Climate is changing, but the prime driver are natural cosmic/Earth cycles (the Sun),not humans\nBlaming humans allows more government control and more tax money to be taken from the human slaves""",2025-01-08T20:46:00Z,/journey_le29533/status/1877094435055395209#m,0,0,0,0,0
@ButchArnold1,"""Cue the ""Climate Change"" shills blaming the L.A. fires on fake science propaganda \n\nOur Climate is changing, but the prime driver are natural cosmic/Earth cycles (the Sun), not humans\n\nBlaming humans allows more government control and more tax money to be taken from the human slaves""",2025-01-08T19:45:00Z,/ButchArnold1/status/1877079114949026061#m,0,0,0,0,0
@BandOfBrothersQ,"""Cue the ""Climate Change"" shills blaming the L.A. fires on fake science propaganda \n\nOur Climate is changing, but the prime driver are natural cosmic/Earth cycles (the Sun), not humans\n\nBlaming humans allows more government control and more tax money to be taken from the human slaves""",2025-01-08T18:27:00Z,/BandOfBrothersQ/status/1877059472574787914#m,0,0,0,2,0
@Grouperguy22,"""Cue the ""Climate Change"" shills blaming the L.A. fires on fake science propaganda \nOur Climate is changing, but the prime driver are natural cosmic/Earth cycles (the Sun), not humans\nBlaming humans allows more government control & more tax money to be taken from the human slaves!""",2025-01-08T17:46:00Z,/Grouperguy22/status/1877049368454508736#m,0,0,0,0,0
@Jordan_Sather_,"""Cue the ""Climate Change"" shills blaming the L.A. fires on fake science propaganda\n\nOur Climate is changing, but the prime driver are natural cosmic/Earth cycles (the Sun), not humans\n\nBlaming humans allows more govt control and more tax money to be taken from the human slaves""",2025-01-08T16:52:00Z,/Jordan_Sather_/status/1877035753626083670#m,10,65,5,182,0
@Jordan_Sather_,"""1) The climate is changing, but it’s not being caused by humans (natural cosmic cycles)\n\n2) Fires are so bad in California due to forest and reservoir mismanagement\n\n3) Gotta wonder if arson was involved in this""",2025-01-08T15:29:00Z,/Jordan_Sather_/status/1877014748098695237#m,20,47,1,183,1
@climatederange,"""Earth’s climate has always fluctuated. The Medieval Warm Period (950-1250 AD) had temperatures similar to today, driven by natural cycles like solar activity—not CO2. What caused warming then if not industrialization? 🌍 #ClimateScam""",2024-12-30T17:32:00Z,/climatederange/status/1873784265252757690#m,0,0,0,0,1
