user,text,created_at_datetime,link,replying-to,quoting,comments,retweets,quotes,likes,alignment
@grok,"""While consensus in science isn't infallible (e.g., past shifts like plate tectonics), the 97% agreement on human-caused climate change is backed by evidence like rising temps, ice loss, and CO2 data from NASA/IPCC. Skeptics highlight natural cycles, historical variability, and overstated models from sources like CO2 Coalition. Let's examine the data.""",2025-09-26T01:59:00Z,/grok/status/1971394222730477681#m,"['@paddysaidingbar', '@joe51du', '@Royalacresrod', '@BobPartridge16', '@peblackstock', '@smeemartin', '@Fossil_Herb', '@Gilles_Borghese', '@benmooreau', '@FriedrichFiles', '@kennetham12', '@Konrad_Chapman', '@ScienceBlog3', '@WeRone777', '@MichaelCastill2', '@FreeSpeech4Me_U', '@BigIke1313', '@M3othra012', '@OscarsWild1', '@FGleed73314', '@RogerSp68782804', '@craigthomler', '@insane_voice', '@Gladfly1', '@FBreject1', '@WayneAllanH', '@tonydunc', '@WillM39557849', '@PMgeezer', '@FreeSpeech4U_Me', '@AccringtonWho', '@EberhardBaehr', '@zoleszter', '@Veritatem2021', '@RegimeChangeBC', '@WilbertRobicha1', '@ge0geek', '@RonRessler3', '@portun81', '@Frnc_prep', '@Ivana202020', '@EarnmyV', '@RightOnQ42', '@Data79504085', '@nalonjack', '@Freeeethinker1', '@radwyn', '@lheal', '@PeterMayfitz', '@Grock']",,0,0,0,0,2
@Truthful_Nomad,"""No it’s a thing. But it’s not what wokaluns think it is. Earth has climate change it’s been happening and will happen long before humans existed. A lot of climate change is caused by natural causes. Like the sun. Lefties can’t stop the sun now can they?""",2025-09-25T20:47:00Z,/Truthful_Nomad/status/1971315594873250222#m,['@AVGirl4Life'],,1,0,0,0,0
@DXTraeger,"""Mainstream attribution science finds strong evidence for human-caused warming. These deniers are a small recurring group outside climate research or tied to advocacy think tanks. Their claims (low sensitivity, natural cycles, “no crisis”) have not held under independent scrutiny""",2025-09-25T14:42:00Z,/DXTraeger/status/1971223874365947960#m,"['@DXTraeger', '@JenKteach']",,1,0,0,0,1
@dirtberry,"""It’s way over hyped!\nThe climate is always changing !\nI’d prefer the truth! Natural global warming by the Malankovitch cycles with a very small percentage caused by humans and maybe cows!\nMost of the melt down all ready occurred in the last 12,000 years!\nStop the marketing!""",2025-09-25T13:52:00Z,/dirtberry/status/1971211143214661928#m,['@atrupar'],,0,0,0,0,1
@FreddieFred69,"""Climate Change is a hoax!  The Earth goes through normal/natural cycles of warm and cold. So what caused ""Global Warming"" during the Roman Climate Optimum 2,000 years ago, or during the Medieval Warm Period 1,000 years ago? 🤔👇""",2025-09-25T11:46:00Z,/FreddieFred69/status/1971179589629292872#m,['@joeroganhq'],,0,0,0,0,1
@FreddieFred69,"""Climate Change is a hoax!  The Earth goes through normal/natural cycles of warm and cold. So what caused ""Global Warming"" during the Roman Climate Optimum 2,000 years ago, or during the Medieval Warm Period 1,000 years ago? 🤔👇""",2025-09-25T11:09:00Z,/FreddieFred69/status/1971170143641522319#m,['@GovKathyHochul'],,0,1,0,0,1
@grok,"""Yes, climate change is real according to the overwhelming scientific consensus, with 97% of experts agreeing it's primarily human-caused, per NASA and IPCC reports. Evidence includes rising temperatures and extreme weather. However, skeptics argue it's mostly natural cycles or overstated, citing sites like Skeptical Science. For details, check primary sources.""",2025-09-25T05:46:00Z,/grok/status/1971088945103634898#m,['@RunningBear818'],,1,0,1,0,1
@grok,"""No, climate change is not a hoax. Scientific consensus from NASA, IPCC, and recent 2025 reports confirms it's real, human-caused, and accelerating, with evidence like rising temperatures and extreme weather. Some skeptics argue it's exaggerated due to natural cycles or data issues, but the data overwhelmingly supports the consensus.""",2025-09-25T00:20:00Z,/grok/status/1971006971756364005#m,"['@LeoAl1979', '@liz_churchill10']",,0,0,0,0,1
@BeverlyWendlin1,"""Climate change is not caused by humans. It is the natural cycles of the earth. It warms and cools millions of years over time.""",2025-09-24T21:03:00Z,/BeverlyWendlin1/status/1970957280477839760#m,['@GovKathyHochul'],,0,0,0,0,1
@grok,"""Yes, scientific consensus from sources like NOAA and IPCC indicates global sea levels are rising due to human-caused climate change, mainly from melting ice sheets/glaciers and thermal expansion of seawater. Current rate: ~3.6 mm/year, accelerating. Some argue natural cycles play a larger role, but data shows human influence is significant.""",2025-09-24T17:15:00Z,/grok/status/1970899828583674133#m,"['@shesahua', '@Micha_weiss_es', '@GlenGarden1', '@MikeHudema']",,0,0,0,0,2
@grok,"""I'm built to share info from diverse sources without bias. Scientific consensus (NASA, IPCC) holds human-caused climate change is proven, with 99%+ agreement among experts, based on data like rising CO2 and temperatures.\n\nSkeptics argue natural factors like solar cycles or oceanic patterns may play a larger role (e.g., Forbes 2025 analysis).\n\nViews differ; what specific aspect would you like explored?""",2025-09-24T13:48:00Z,/grok/status/1970847696719401355#m,"['@LucyBadge', '@MissState1985', '@bigbrother2084', '@Sassafrass_84']",,0,0,0,0,1
,,,,[],,0,0,0,0,1
@grok,"""Climate change is real, supported by scientific consensus (97-99% of studies agree it's human-caused, per NASA and peer-reviewed research). Skeptics argue it's mostly natural cycles or overstated.\n\nIt can be dangerous for humans, with risks like heatwaves, floods, disease spread, and food insecurity, potentially causing 250k extra deaths/year (WHO data). Debates exist on exact impacts.\n\nTrump's ""con-job"" remark highlights skepticism on its validity and policies, contrasting with mainstream science.""",2025-09-24T08:30:00Z,/grok/status/1970767776722891189#m,"['@youmunbean', '@RomanCabanac']",,0,0,0,0,1
@grok,"""AI outputs depend on training data and prompts, but I verify with real-time searches from diverse sources. On climate change, NASA and IPCC report 97% scientific consensus that it's human-caused, backed by evidence like rising CO2 levels. Skeptics argue natural cycles play a bigger role and models overstate risks. For latest, check primary sources.""",2025-09-24T04:25:00Z,/grok/status/1970706088468324755#m,"['@Gibbleguts1', '@AlexKane_420', '@Evd24239557', '@RealAlexJones']",,1,0,0,0,1
@grok,"""No, climate change is not a hoax. Scientific consensus from organizations like NASA and the IPCC, based on evidence like rising temperatures and sea levels, shows it's real and largely human-caused. Some skeptics question the extent or models, citing natural cycles, but over 90% of climate scientists agree on the core findings.""",2025-09-24T00:54:00Z,/grok/status/1970652993050812436#m,"['@RTLNFLNogos', '@allenanalysis']",,0,0,0,0,1
@OpenAISerbia,"""Carbon footprint is a hoax but natural climate change produced by Sun's activity and Earth' inclination angle is real. But they are blaming it on people. Read about Milankovic's cycles.""",2025-09-23T18:08:00Z,/OpenAISerbia/status/1970550834267357207#m,['@liz_churchill10'],,0,0,0,0,1
@Debsplace63,"""@MichelleDewbs hi Michelle, I remember in 70s when the ice age was coming! I remember early 2000 predictions we would be under water…. Climate Change is real, it’s natural and not caused by C02 but driven by the Sun. Let’s not confuse education with intelligence.""",2025-09-23T17:22:00Z,/Debsplace63/status/1970539221350785187#m,[],,0,0,0,1,0
@grok,"""No, climate change isn't a hoax. Over 97% of climate scientists agree it's real and primarily human-caused, based on evidence like rising global temperatures, sea levels, and extreme weather patterns from sources including NASA and IPCC reports. Skeptics point to natural cycles or data issues, but the consensus holds across diverse studies as of 2025.""",2025-09-23T15:12:00Z,/grok/status/1970506456261873676#m,['@northern_star76'],,0,1,0,0,1
@Neosocratas,"""CO2 climate change is bogus.  Yes, CO2 adds to climate change but the effect is not significant.  Climate change is caused by Milankovitch cycles (variations in the Earth's orbit and Sun's output.  Think of what causes winter and summer then notice the change in temperature.""",2025-09-23T06:10:00Z,/Neosocratas/status/1970370053309919415#m,['@ChrisMartzWX'],,0,0,0,1,1
@grok,"""Yes, extensive evidence from NASA, IPCC, and peer-reviewed studies shows climate change is real and mainly human-caused, with 97%+ scientific consensus on warming trends. Skeptics argue natural cycles play a larger role and question data, but this is a minority view.""",2025-09-23T03:18:00Z,/grok/status/1970326963744317805#m,"['@americansniped', '@WeazyCough', '@ABC']",,0,0,0,0,2
@Steislogie95,"""Human caused climate change minuscule and barely measurable relative to the natural heating / cooling cycles caused by the sun. Nothing but a grift""",2025-09-20T13:41:00Z,/Steislogie95/status/1969396381749252413#m,['@john_mcguirk'],,0,0,0,0,0
@GazPGaz1,"""Lastly... there is no... that's ""NO"" real science to support man made C02 as the main cause of climate change... in fact there's more evidence to suggest the Sun & sea are the drivers which = natural cycles.\n\nYou've been sold a fairytale to accept more control & less freedom.""",2025-09-19T23:06:00Z,/GazPGaz1/status/1969176394505519540#m,['@benmooreau'],,1,0,0,0,1
@Exception_Null,"""You need an option for: ""Climate Change is real, but not caused by humans. It is actually caused by sun cycles.""""",2025-09-18T15:05:00Z,/Exception_Null/status/1968692808836886562#m,['@volcaholic1'],,0,0,0,0,0
@grok,"""Climate change is not a farce; it's backed by strong scientific consensus (e.g., NASA reports 97% of experts agree it's human-caused and ongoing). However, skeptics argue many impacts are exaggerated due to natural cycles (e.g., ClimateRealism cites data showing no acceleration in sea level rise or wildfires). For details, check IPCC reports vs. skeptic analyses. What's your take?""",2025-09-18T03:13:00Z,/grok/status/1968513677331722741#m,"['@WillThisDo42', '@goodfoodgal']",,0,0,0,0,1
@jj_wisco_vet,"""Climate models are also biased, just like those who build them. \n\nI remember 20yrs ago scientists had to explain cooler than expected climate temps were caused by “natural cooling cycles”. These cycles weren’t part of the computer modeling. Why is that?""",2025-09-17T19:19:00Z,/jj_wisco_vet/status/1968394337500246396#m,['@SPACEdotcom'],,0,0,0,0,1
@DarwynFry,"""Air pollution over time, land use over time changes local climates which could have effect beyond the local areas, I would think this is a small impact on global climate but, it is likely a factor. \n\nI would expect natural causes, sun cycles or other naturally occurring factors would have a greater impact, as they always have.""",2025-09-17T13:20:00Z,/DarwynFry/status/1968304140569780521#m,"['@greg_davies', '@michaelshermer']",,1,0,0,0,2
@AngieMichelleE5,"""Nature has been through natural Climate Cycles for millennia! It is the Sun that controls that, anyone believing otherwise is deluded. All Khan has done is fill the Ulez coffers to bursting £££, as long as you pay & your car doesn't conform you can still drive here Absolute farce""",2025-09-13T10:41:00Z,/AngieMichelleE5/status/1966814412867547574#m,['@domdyer70'],,0,0,1,0,1
@Trev_NX,"""Climate change is natural, caused by the Sun:  \nSo-called ""experts"" calling for global government, global taxes, and global control hope that people are too stupid to check out the facts.""",2025-09-12T15:28:00Z,/Trev_NX/status/1966524265512972517#m,[],,0,0,0,1,1
@grok,"""Charlie Kirk often described climate change alarmism as exaggerated hysteria, sometimes linking it to Marxist agendas, citing natural cycles and policy overreach. Scientific consensus (e.g., IPCC, NASA) affirms human-caused warming with severe impacts like extreme weather. Critics argue some warnings hype risks for control, while supporters stress evidence-based urgency. Balanced view: Data supports action, but solutions vary.""",2025-09-11T14:19:00Z,/grok/status/1966144501682155858#m,"['@StevenBrow87628', '@_ClimateCraze', '@ChristopherS453']",,0,0,0,0,2
@grok,"""No single person can stop climate change, but global efforts like cutting emissions, adopting renewables, and reforestation can mitigate its worst effects. Scientific consensus says it's human-caused and actionable, though skeptics argue natural cycles play a bigger role or models are flawed. Collective action matters—what's your view?""",2025-09-10T16:56:00Z,/grok/status/1965821589616001518#m,"['@Riccardodanger1', '@sjsimmons', '@MLeiter42', '@craigthomler', '@priscian', '@DaleGribble_666', '@dafalgoutDennis', '@JamesAbbott2013', '@ladyspat1', '@evenminded512', '@sandcastle1975', '@patfrank830', '@jimdtweet', '@Frnc_prep', '@MichaelCar11571', '@ammocrypta', '@FreeSpeech4Me_U', '@WHPAAD', '@ChrisBBacon3', '@balls95652097', '@joPO19942906', '@BubbasRanch', '@WayneAllanH', '@Kenneth72712993', '@BenKoby1911', '@LexWaters7', '@Michael_D_Crow', '@Scizz8', '@Data79504085', '@Mark_A_Lunn', '@rln_nelson', '@4RealClimate', '@CDCollins5269', '@Ernestops78', '@TrixX306', '@phlannelphysics', '@BobPartridge16', '@Hji45519156', '@FreeSpeech4U_Me', '@Devonian1342', '@jgatta06', '@TypicalDeviant', '@isaacscradle', '@RobertWager1', '@hannon_renee', '@RixAutomatedMat', '@GeorgeJeff9804', '@roger_clague', '@NOAA']",,1,0,0,0,2
@19yma19,"""Peter explain the role GHG play in delaying energy escape from heat caused by Sun. All natural processes are now occurring in a warmed climate. Atmosp temp up, ocean warming up, acidity up etc. these are observable trends. Maybe you could answer?""",2025-09-09T22:09:00Z,/19yma19/status/1965537962353152132#m,"['@PeterDClack', '@DeborahSmi5811', '@Race2Extinct']",,0,0,0,1,1
@DASingh8,"""Climate change is caused by natural phenomena. It can be caused by volcanoes, solar cycles, ocean currents, etc. but not by CO2. You have CO2 in your body right now. It is necessary for the survival of the planet.\nOnly brain-dead idiots, like Democrats, think it must be removed.""",2025-09-08T19:19:00Z,/DASingh8/status/1965132948979741036#m,[],,0,0,0,0,1
,,,,[],,0,0,0,0,1
@greenlenss,"""🌍 What is the GREENHOUSE EFFECT?\nIt’s Earth’s natural heat shield—gases like CO₂ & water vapor trap some of the Sun’s heat, keeping the planet warm & habitable.\n⚠️ But human-caused emissions of these gases intensify the effect → global warming & climate change.\n#ClimateChange""",2025-09-08T14:20:00Z,/greenlenss/status/1965057608236335445#m,[],,1,5,1,8,1
@grok,"""To analyze opinion diversity on a topic (let's use ""climate change"" as your variable 'x'), I searched recent X posts:\n\n- ~40% skeptical (e.g., natural cycles, no crisis).\n- ~35% alarmist (human-caused existential threat).\n- ~25% middle-ground (some impact, but overhyped).\n\nThis varies by post type: Original threads show more nuance; replies amplify extremes. Studies (e.g., Nature 2025) note X boosts polarization but exposes diverse views.\n\nPick a topic for deeper stats?""",2025-09-07T22:18:00Z,/grok/status/1964815524627689614#m,"['@rupeshmalpani', '@elonmusk']",,1,0,0,1,1
@FD2you,"""When they say “global warming”, or “climate change”, just swap that out for the sun’s natural cycles, and it all starts to make more sense.👇🏼""",2025-09-07T20:35:00Z,/FD2you/status/1964789718857724058#m,"['@HankL2', '@ChrisMartzWX']",@FD2you,0,0,0,2,1
@grok,"""While natural cycles have influenced Earth's climate historically, scientific consensus (e.g., from NASA and IPCC) shows that recent rapid warming is primarily caused by human activities like greenhouse gas emissions. Thus, I don't fully agree with Putin's statement that the origins are unknown.""",2025-09-05T05:07:00Z,/grok/status/1963831250910925070#m,"['@Racing_Away', '@TonyClimate']",,0,0,0,0,1
@vikingwombat,"""💯. Man is not that powerful especially when Climate Change is a natural part of Earth's cycle and caused by its wobbly trajectory around the Sun. It's a radical Zionist WEF scam to enable their plundering of nations.""",2025-09-04T10:38:00Z,/vikingwombat/status/1963552211390402727#m,['@wideawake_media'],,0,0,0,0,0
@grok,"""Interesting take. Scientific consensus (e.g., NASA, IPCC) holds that human-caused climate change is real, with 97-99% agreement among experts. Skeptics argue it's natural cycles or overstated. Evidence like rising temps and CO2 levels supports the former. What's your view?""",2025-09-04T05:16:00Z,/grok/status/1963471275365732768#m,"['@Peter_Pampher', '@EZUKFP']",,1,0,0,0,1
@Brewsterlala,"""Accounts which direct focus onto UAPS & aliens are functioning to sh×tcoat & preemptively discredit the cyclical, historical documented phenomena of ""climate collapse"" caused by the sun and earth's life cycles and various cosmic alignments.""",2025-09-03T22:18:00Z,/Brewsterlala/status/1963366082083000664#m,[],,0,0,1,2,1
@WahlstenBjorn,"""Climate is allways chainging and soon it will be colder caused by natural cycles.""",2025-09-03T04:21:00Z,/WahlstenBjorn/status/1963095043067060375#m,['@AbiluTangwa'],,1,0,0,1,1
@grok,"""The Sun's activity and Earth's orbital variations (Milankovitch cycles) are indeed key natural drivers of long-term climate changes, and humans can't alter them via legislation. However, they're not the only factors—volcanoes, atmospheric composition, and human-induced greenhouse gases also play roles. Per NASA and IPCC, recent rapid warming is mainly from human emissions, which policies can mitigate.""",2025-09-03T03:21:00Z,/grok/status/1963079924459409518#m,"['@Racing_Away', '@wideawake_media']",,1,0,0,0,1
@grok,"""Climate change as scam? Consensus from IPCC/NASA: Real, human-caused via emissions, with evidence like rising temps, seas, extreme weather. Skeptics claim natural cycles or hype for green profits/gov't control. Cui bono: Policies boost renewables/research; denial aids fossil fuels. Specific evidence swaying you?""",2025-09-02T16:51:00Z,/grok/status/1962921421430260052#m,['@hooyahdeepsea69'],,2,0,0,0,2
@TommyThomThomas,"""Where have I claimed humans have no impact on global climate/global warming?  I claim the sun is the overwhelming source of heat for earth.  Human caused CO2 is a small contribution dwarfed by natural CO2, dwarfed by H2O, dwarfed by the sun.  Those are the facts. Thank you for your time and attention.""",2025-08-30T23:10:00Z,/TommyThomThomas/status/1961929535940854036#m,"['@VeronikaWache', '@PeterDClack', '@grok']",,1,0,0,0,2
@SchneidGabriel,"""Climate change is real, and it is caused by sun & ocean cycles. Not by greenhouse gases.""",2025-08-30T15:00:00Z,/SchneidGabriel/status/1961806326738141615#m,['@TonyClimate'],,0,0,0,13,0
@grok,"""No, climate change is not a hoax. Scientific consensus from NASA, IPCC, and UN reports (as of 2025) shows over 97% of experts agree it's real and human-caused, with evidence of rising temperatures, extreme weather, and emissions impacts. Skeptic claims often cite natural cycles, but data indicates unprecedented rates. SAI remains in research, not deployed widely—trails are typically contrails.""",2025-08-29T22:07:00Z,/grok/status/1961551424023925100#m,"['@DennySig', '@Night_Owl_II', '@myhiddenvalue']",,1,0,1,2,2
@irkutsk56,"""“I am not sure whether this climate change we have been experiencing in Europe, at least since the 1960s, is truly caused by human activity or simply part of the natural cycles of glaciations and global warming seen in other centuries. What I am certain of, however, is that citizens have been programmed to believe it, while certain elites profit from this narrative.”""",2025-08-28T14:36:00Z,/irkutsk56/status/1961075494138384478#m,['@robinmonotti'],,0,0,0,1,2
